IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.2.181,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,8.81
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,15,8.81
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,20,8.81
8.219.51.211,8443,8443,true,SIN,Asia Pacific,Singapore,47,8.80
8.219.240.160,8080,8080,false,SIN,Asia Pacific,Singapore,39,8.79
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,13,8.79
8.219.5.10,2053,2053,true,SIN,Asia Pacific,Singapore,70,8.79
8.219.117.198,2096,2096,true,SIN,Asia Pacific,Singapore,65,8.78
8.219.248.47,2096,2096,true,SIN,Asia Pacific,Singapore,83,8.78
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,35,8.78
8.210.156.6,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,8.78
8.210.21.65,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,8.78
8.219.201.245,443,443,true,SIN,Asia Pacific,Singapore,64,8.78
8.219.77.222,2096,2096,true,SIN,Asia Pacific,Singapore,69,8.77
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,28,8.76
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,15,8.76
8.210.207.214,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,8.76
8.219.201.8,2052,2052,false,SIN,Asia Pacific,Singapore,7,8.76
8.222.179.231,2082,2082,false,SIN,Asia Pacific,Singapore,23,8.76
8.210.39.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,8.76
8.219.193.202,80,80,false,SIN,Asia Pacific,Singapore,35,8.76
8.218.18.235,2053,2053,true,HKG,Asia Pacific,Hong Kong,97,8.75
8.219.5.10,80,80,false,SIN,Asia Pacific,Singapore,18,8.75
8.219.97.50,2053,2053,true,SIN,Asia Pacific,Singapore,90,8.74
8.222.150.197,2082,2082,false,SIN,Asia Pacific,Singapore,15,8.74
8.219.202.130,2096,2096,true,SIN,Asia Pacific,Singapore,114,8.73
8.219.199.220,2086,2086,false,SIN,Asia Pacific,Singapore,39,8.73
8.219.198.34,80,80,false,SIN,Asia Pacific,Singapore,15,8.72
47.242.252.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,8.72
47.243.42.219,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,8.72
8.222.183.242,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.72
8.219.117.198,2095,2095,false,SIN,Asia Pacific,Singapore,19,8.72
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,8.71
47.236.146.249,2086,2086,false,SIN,Asia Pacific,Singapore,11,8.71
8.219.6.150,2082,2082,false,SIN,Asia Pacific,Singapore,33,8.71
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,56,8.70
8.219.210.64,2095,2095,false,SIN,Asia Pacific,Singapore,23,8.70
47.241.209.61,443,443,true,SIN,Asia Pacific,Singapore,60,8.69
8.222.174.108,2096,2096,true,SIN,Asia Pacific,Singapore,40,8.69
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,151,8.68
8.218.48.92,2083,2083,true,HKG,Asia Pacific,Hong Kong,112,8.68
8.210.245.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,8.68
8.217.250.222,2086,2086,false,HKG,Asia Pacific,Hong Kong,64,8.68
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,16,8.68
8.219.103.65,2096,2096,true,SIN,Asia Pacific,Singapore,116,8.67
8.219.191.40,8080,8080,false,SIN,Asia Pacific,Singapore,69,8.67
8.222.150.197,2096,2096,true,SIN,Asia Pacific,Singapore,64,8.67
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,83,8.66
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,99,8.66
8.219.193.202,8080,8080,false,SIN,Asia Pacific,Singapore,14,8.65
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,96,8.64
8.217.250.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,83,8.64
8.219.189.143,2086,2086,false,SIN,Asia Pacific,Singapore,30,8.64
8.222.137.192,8443,8443,true,SIN,Asia Pacific,Singapore,51,8.63
8.219.240.160,2096,2096,true,SIN,Asia Pacific,Singapore,81,8.63
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,94,8.63
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,8.62
8.219.222.98,2096,2096,true,SIN,Asia Pacific,Singapore,58,8.62
47.237.92.26,2082,2082,false,SIN,Asia Pacific,Singapore,61,8.61
8.222.165.117,8880,8880,false,SIN,Asia Pacific,Singapore,7,8.60
8.219.210.57,2087,2087,true,SIN,Asia Pacific,Singapore,88,8.60
47.243.90.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,112,8.58
8.217.193.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,120,8.58
47.242.234.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,8.58
8.219.1.92,8443,8443,true,SIN,Asia Pacific,Singapore,70,8.58
8.219.83.201,8880,8880,false,SIN,Asia Pacific,Singapore,14,8.57
8.219.122.55,8880,8880,false,SIN,Asia Pacific,Singapore,21,8.57
47.236.168.17,2086,2086,false,SIN,Asia Pacific,Singapore,30,8.57
8.217.207.60,8443,8443,true,HKG,Asia Pacific,Hong Kong,75,8.57
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,35,8.57
8.219.113.232,2086,2086,false,SIN,Asia Pacific,Singapore,34,8.57
47.236.130.95,2052,2052,false,SIN,Asia Pacific,Singapore,39,8.57
47.236.144.196,2095,2095,false,SIN,Asia Pacific,Singapore,13,8.56
8.219.107.135,8080,8080,false,SIN,Asia Pacific,Singapore,13,8.56
8.222.150.197,8443,8443,true,SIN,Asia Pacific,Singapore,66,8.56
8.219.189.143,2052,2052,false,SIN,Asia Pacific,Singapore,16,8.56
8.219.5.10,8880,8880,false,SIN,Asia Pacific,Singapore,415,8.54
8.218.18.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,57,8.54
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,19,8.54
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,35,8.53
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,8,8.53
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,123,8.53
8.218.143.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,8.53
8.222.237.131,2053,2053,true,SIN,Asia Pacific,Singapore,76,8.53
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,68,8.53
47.242.176.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,8.53
8.218.48.92,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,8.52
8.219.103.65,80,80,false,SIN,Asia Pacific,Singapore,24,8.52
8.219.210.57,8880,8880,false,SIN,Asia Pacific,Singapore,31,8.52
8.218.22.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,8.52
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,8,8.51
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,23,8.51
47.236.10.100,2087,2087,true,SIN,Asia Pacific,Singapore,62,8.50
8.222.137.192,2052,2052,false,SIN,Asia Pacific,Singapore,20,8.50
8.210.156.6,2052,2052,false,HKG,Asia Pacific,Hong Kong,66,8.50
8.219.193.202,8080,8080,false,SIN,Asia Pacific,Singapore,16,8.50
8.218.53.110,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,8.50
8.219.113.232,2083,2083,true,SIN,Asia Pacific,Singapore,66,8.49
8.219.191.110,2082,2082,false,SIN,Asia Pacific,Singapore,14,8.49
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,51,8.49
8.219.142.191,2052,2052,false,SIN,Asia Pacific,Singapore,40,8.49
8.219.220.88,2086,2086,false,SIN,Asia Pacific,Singapore,30,8.48
8.210.21.65,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,8.48
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,79,8.48
8.219.6.150,2096,2096,true,SIN,Asia Pacific,Singapore,35,8.48
47.242.252.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,8.48
8.218.52.115,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,8.48
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,21,8.46
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,8.46
8.222.162.45,2096,2096,true,SIN,Asia Pacific,Singapore,57,8.46
8.219.177.205,2095,2095,false,SIN,Asia Pacific,Singapore,14,8.45
8.219.60.54,8443,8443,true,SIN,Asia Pacific,Singapore,91,8.45
8.219.86.200,8880,8880,false,SIN,Asia Pacific,Singapore,44,8.45
8.219.177.205,80,80,false,SIN,Asia Pacific,Singapore,18,8.44
8.219.113.232,80,80,false,SIN,Asia Pacific,Singapore,24,8.43
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,52,8.43
8.219.210.64,2086,2086,false,SIN,Asia Pacific,Singapore,31,8.43
8.217.248.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,38,8.43
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,74,8.42
8.219.110.81,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.42
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,17,8.42
8.218.126.53,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,8.42
8.219.86.200,8080,8080,false,SIN,Asia Pacific,Singapore,11,8.42
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,9,8.42
8.210.207.214,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,8.42
8.210.21.65,2053,2053,true,HKG,Asia Pacific,Hong Kong,81,8.42
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,91,8.41
8.219.198.34,2096,2096,true,SIN,Asia Pacific,Singapore,120,8.41
8.219.113.232,8880,8880,false,SIN,Asia Pacific,Singapore,10,8.41
